x[px],y[px],t[s]
0.36214054,0.26055008,0.9310334
0.6575863,0.23096435,0.17025188
0.10106968,0.25298795,0.406262
0.95366544,0.28961614,0.42140466
0.09436191,0.5699704,0.6343791
0.09126708,0.424192,0.7826923
0.90810424,0.575764,0.14367473
0.73755026,0.28667596,0.12119146
0.7141581,0.37980825,0.9385872
0.95298964,0.24575065,0.83365864
0.76616293,0.16780265,0.7049667
0.9530802,0.24583873,0.84983236
0.9894222,0.8850403,0.28068283
0.5041747,0.64454234,0.19448644
0.7477785,0.99929494,0.7186258
0.15334266,0.39007747,0.68353134
0.00052438263,0.46064234,0.16148643
0.20937802,0.38809076,0.33177733
0.7407673,0.4060826,0.5605946
0.32340926,0.07939644,0.014736979
0.36332282,0.46637636,0.77063626
0.14491276,0.00050993136,0.52199435
0.024820466,0.084791645,0.22336936
0.9801377,0.53302366,0.3792624
0.94818914,0.7618385,0.52688855
0.36650077,0.0019528482,0.02209848
0.50216824,0.10202525,0.08523264
0.21563865,0.031609677,0.06885843
0.1459454,0.94727796,0.2749043
0.72110164,0.45608824,0.23603003
0.747834,0.9993394,0.69271547
0.17275468,0.5350926,0.18788439
0.6007374,0.4964634,0.39578444
0.009799833,0.6309488,0.24435304
0.23399246,0.52859545,0.0831847
0.19932553,0.8847426,0.71272427
0.9483229,0.7618462,0.54783225
0.99953926,0.5941968,0.37516922
0.46875912,0.3715821,0.47327852
0.59892666,0.24538381,0.76905036
0.9536392,0.28971216,0.45320374
0.7476964,0.9994445,0.7022013
0.46064076,0.19743767,0.9070314
0.9537031,0.28975332,0.40373358
0.7407241,0.40609968,0.54654914
0.98016596,0.53313774,0.39864337
0.66181856,0.80378944,0.1700173
0.03853106,0.58568484,0.42615935
0.038338542,0.58584994,0.48777524
0.5248745,0.9324659,0.55385405
0.74068916,0.40613115,0.58643115
0.44211888,0.62214684,0.43986046
0.7020885,0.5796651,0.5730567
0.17275569,0.53493464,0.2316725
0.54337895,0.07139674,0.059765756
0.8902513,0.0610988,0.29740554
0.038458515,0.58570975,0.44217694
0.7959391,0.6674846,0.03572354
0.78581965,0.96260506,0.64653593
0.31597084,0.20231715,0.74609154
0.6574644,0.23107326,0.13145112
0.35856703,0.28291363,0.5778171
0.9069586,0.8481547,0.37960485
0.8722997,0.4554005,0.6248074
0.9013684,0.36527908,0.91075844
0.8266388,0.72237754,0.3155682
0.5576893,0.5300942,0.85087705
0.7856192,0.96236223,0.61139965
0.36098564,0.255615,0.9558046
0.10347872,0.37160668,0.53822196
0.92859554,0.13053527,0.6576462
0.024865052,0.08467855,0.2076392
0.1811155,0.30636752,0.14528607
0.9054932,0.44713774,0.8804794
0.41579854,0.76752406,0.030251132
0.50215805,0.102112405,0.118710294
0.9068833,0.84819293,0.33573103
0.9820422,0.76987475,0.54884875
0.8417239,0.64789736,0.19740301
0.5277226,0.94021535,0.5867904
0.11487873,0.24722987,0.08574497
0.19748837,0.3134024,0.4361078
0.93923235,0.16524833,0.827355
0.047103874,0.6332034,0.15889645
0.36640537,0.002001343,0.0017905355
0.06348134,0.95912856,0.8209417
0.72915334,0.45863757,0.29557568
0.50225025,0.78585887,0.31676322
0.73753285,0.2867019,0.15090847
0.90134823,0.36516586,0.88242275
0.7856321,0.96244204,0.5880703
0.72100997,0.4562379,0.19067945
0.63638127,0.062370688,0.42665923
0.7209675,0.45614755,0.21036993
0.85272896,0.7204923,0.7653439
0.18471044,0.7649769,0.76778674
0.6097142,0.12362828,0.25573233
0.94614434,0.2055974,0.89807236
0.07258671,0.19531877,0.7559588
0.12675966,0.77381456,0.018460024
