x [px], y [px], t [s], nPhotons [1], PSD value, t_relToExtTrigger [s]
 111.83,  196.02, 3.759687500000e-04, 1905.0, 5.494445191257e-01, nan
 191.95,  192.46, 3.796421875000e-04, 1704.0, 5.470793293601e-01, nan
  72.01,   71.81, 3.894031250000e-04, 2299.0, 5.389622367075e-01, nan
  56.39,  162.00, 3.980453125000e-04, 1923.0, 5.132111232441e-01, nan
 101.96,  161.51, 4.003250000000e-04, 2111.0, 4.776339498823e-01, nan
 177.42,   73.47, 4.090781250000e-04, 2083.0, 5.217194081471e-01, nan
 208.85,   82.52, 4.413500000000e-04, 1838.0, 5.342162971207e-01, nan
  95.61,  193.25, 4.564937500000e-04, 1573.0, 5.620490135937e-01, nan
 192.31,   42.90, 5.808046875000e-04, 1636.0, 5.807452171779e-01, nan
 103.26,   78.28, 5.810296875000e-04, 1727.0, 5.188518526039e-01, nan
 173.58,   71.98, 5.844125000000e-04, 1398.0, 5.616992907044e-01, nan
 153.28,   28.09, 6.012687500000e-04, 1369.0, 4.700178182569e-01, nan
 188.77,  115.59, 6.040984375000e-04, 1043.0, 5.588868555863e-01, nan
 164.06,  146.26, 6.050734375000e-04, 1119.0, 4.692580284573e-01, nan
 209.41,   58.60, 6.208109375000e-04, 1510.0, 5.778008104760e-01, nan
 171.48,   54.31, 6.223859375000e-04, 1131.0, 6.110853756106e-01, nan
 212.01,   65.45, 6.279765625000e-04, 880.0, 5.884053764560e-01, nan
 176.88,  123.83, 6.296203125000e-04, 1394.0, 4.830588564462e-01, nan
  93.46,   27.35, 6.406500000000e-04, 1090.0, 6.703777735952e-01, nan
 218.72,  139.98, 6.474625000000e-04, 978.0, 5.458493145706e-01, nan
 189.43,  138.88, 7.165093750000e-04, 1378.0, 5.018403820403e-01, nan
  85.87,  185.24, 7.180062500000e-04, 1312.0, 5.264131856005e-01, nan
 227.80,  158.72, 7.278312500000e-04, 745.0, 4.317135544610e-01, nan
