x [px], y [px], t [s], nPhotons [1], PSD value, t_relToExtTrigger [s]
 196.42,  135.11, 4.063415625000e-03,  35.0, 7.380773906250e-02, nan
 202.02,  136.69, 4.135603125000e-03,   6.0, 5.019815104167e-03, nan
 144.20,  106.14, 5.183367187500e-03,  19.0, 1.053702220395e-02, nan
 139.83,  110.53, 5.197540625000e-03,   2.0, 6.394945312500e-04, nan
 152.11,  107.89, 5.199976562500e-03,   5.0, 5.361903437500e-03, nan
 242.02,  197.16, 7.062909375000e-03,  41.0, 7.154690560213e-02, nan
 240.40,  178.47, 7.071184375000e-03,   4.0, 1.935093750000e-04, nan
 242.06,  211.56, 7.119184375000e-03,  50.0, 1.211815773125e-01, nan
 245.24,  198.28, 7.170459375000e-03,   9.0, 3.919483298611e-02, nan
  72.68,  119.55, 7.377243750000e-03,  42.0, 7.213447299107e-02, nan
  68.96,  115.37, 7.627845312500e-03,   8.0, 9.543940781250e-02, nan
  56.46,  236.61, 7.995457812500e-03,   9.0, 2.056876753472e-02, nan
  52.28,  230.22, 8.151889062500e-03,   2.0, 1.850180390625e-02, nan
 178.56,  141.96, 9.026631250000e-03,   5.0, 7.379491375000e-02, nan
  79.57,  122.21, 1.078639218750e-02,  10.0, 3.732120375000e-02, nan
 231.00,   74.45, 1.893562187500e-02,  18.0, 4.508350520833e-03, nan
 235.21,   84.34, 1.893562343750e-02,  10.0, 4.190973593750e-03, nan
 233.80,   37.86, 1.895077500000e-02,  14.0, 9.182631495536e-02, nan
 234.78,   92.03, 1.904509531250e-02,   3.0, 3.276243229167e-03, nan
 229.19,   52.93, 2.044817343750e-02,   3.0, 5.635007239583e-02, nan
 245.19,  200.54, 2.562246250000e-02,   1.0, 0.000000000000e+00, nan
  67.34,   46.33, 2.670053750000e-02,  11.0, 1.835767485795e-02, nan
  49.16,   38.20, 2.672286250000e-02,  15.0, 7.621549177083e-02, nan
  79.55,  246.80, 2.755238906250e-02,   5.0, 4.454187500000e-05, nan
  89.30,  252.16, 2.755516718750e-02,   2.0, 2.498375000000e-04, nan
 124.93,  223.62, 2.902545156250e-02,   1.0, 0.000000000000e+00, nan
 108.94,  205.06, 2.928706406250e-02,   7.0, 9.225254419643e-02, nan
 190.07,  223.03, 3.225091093750e-02,  20.0, 7.440252921875e-02, nan
 212.86,  246.25, 3.256501875000e-02,  12.0, 8.275042552083e-02, nan
 206.21,  220.05, 3.400040312500e-02,  17.0, 1.105131051471e-01, nan
  82.16,  126.63, 3.499664218750e-02,   2.0, 4.587051562500e-03, nan
  70.96,   94.58, 3.500019062500e-02,  28.0, 3.650430184152e-02, nan
  49.09,   43.84, 4.093637187500e-02,   4.0, 6.395599921875e-02, nan
  91.30,   83.34, 4.226163125000e-02,  14.0, 5.152262087054e-02, nan
  90.38,   75.25, 4.226447187500e-02,   1.0, 0.000000000000e+00, nan
  85.82,  198.82, 4.443093281250e-02,  20.0, 3.868004281250e-02, nan
 114.94,  188.85, 4.463075000000e-02,  24.0, 5.389883606771e-02, nan
  80.88,   45.18, 4.508255312500e-02,   1.0, 0.000000000000e+00, nan
  72.59,   93.78, 4.620487812500e-02,   2.0, 1.604527656250e-02, nan
  71.48,  132.67, 4.641703281250e-02,   3.0, 5.179201666667e-02, nan
 103.54,   -2.84, 4.721352031250e-02,   7.0, 7.248987723214e-03, nan
  28.28,   94.93, 4.780397343750e-02,  36.0, 6.874271848958e-02, nan
 125.86,  209.09, 4.790188437500e-02,  31.0, 1.183993990927e-01, nan
  71.36,   14.94, 4.794969062500e-02,  17.0, 1.963868602941e-02, nan
 106.88,   19.42, 4.852195000000e-02,  27.0, 9.235342337963e-02, nan
 189.79,  136.97, 5.135316093750e-02,   8.0, 9.390386875000e-02, nan
 112.35,  141.07, 5.308588281250e-02,  11.0, 1.104751178977e-02, nan
 107.67,  127.11, 5.350778437500e-02,   5.0, 1.541263281250e-02, nan
  92.45,  218.35, 5.362431875000e-02,  14.0, 1.263216599330e-01, nan
 110.99,  144.50, 5.365161093750e-02,   2.0, 8.086893750000e-03, nan
  68.60,   12.30, 5.368867031250e-02,  16.0, 3.079149511719e-03, nan
  66.74,    6.55, 5.369562500000e-02,   2.0, 9.662187500000e-05, nan
 142.53,   39.31, 5.534264375000e-02,  15.0, 6.245530229167e-02, nan
 128.59,   30.56, 5.534283125000e-02,  15.0, 1.044615317708e-01, nan
 139.68,   25.74, 5.550970781250e-02,   6.0, 3.923966953125e-02, nan
 116.26,   37.37, 5.562275312500e-02,   7.0, 6.850559933036e-02, nan
 194.13,  212.26, 5.955090625000e-02,   2.0, 4.806189062500e-02, nan
 247.88,  218.86, 5.992371875000e-02,  11.0, 9.321588096591e-02, nan
  68.76,  209.22, 6.024580156250e-02,   8.0, 9.849346875000e-02, nan
 222.26,   35.95, 6.193599531250e-02,  23.0, 1.659451447011e-02, nan
 216.16,   34.46, 6.197029375000e-02,   2.0, 1.989032265625e-02, nan
 156.23,  199.15, 6.436007656250e-02,   5.0, 1.797233750000e-03, nan
 167.13,  186.97, 6.468568593750e-02,   5.0, 2.489813156250e-02, nan
 194.80,   13.30, 6.749738906250e-02,  17.0, 2.388727205882e-02, nan
 185.76,   10.66, 6.768072187500e-02,   2.0, 2.284133515625e-02, nan
  28.61,  100.82, 7.015911875000e-02,   2.0, 4.149801718750e-02, nan
  16.75,   55.78, 7.041711875000e-02,   6.0, 1.375983567708e-02, nan
 245.42,  235.84, 7.069173437500e-02,  10.0, 4.960100171875e-02, nan
 238.21,  244.04, 7.078820468750e-02,   3.0, 5.633080729167e-03, nan
  29.59,   53.81, 7.083176562500e-02,   2.0, 1.815087265625e-02, nan
  54.93,  221.90, 7.126471250000e-02,  21.0, 1.055938310268e-01, nan
  61.99,  204.50, 7.132019375000e-02,   2.0, 1.711776875000e-02, nan
  31.45,   94.55, 7.151406093750e-02,   4.0, 3.650576679688e-02, nan
 238.00,  255.72, 7.263728125000e-02,   3.0, 5.256819427083e-02, nan
 104.32,  105.96, 7.453040000000e-02,   1.0, 0.000000000000e+00, nan
 230.53,  241.60, 7.651011718750e-02,   2.0, 3.161261250000e-02, nan
 170.57,  197.85, 7.675306718750e-02,   2.0, 2.481242187500e-02, nan
 203.84,  249.74, 8.058045156250e-02,   6.0, 1.347797656250e-03, nan
 185.08,  246.03, 8.066701250000e-02,   9.0, 7.181092395833e-02, nan
 208.39,  229.00, 8.103168125000e-02,   2.0, 3.647572109375e-02, nan
 221.94,   24.95, 8.157525625000e-02,   2.0, 5.067611718750e-03, nan
 241.83,   21.21, 8.165141093750e-02,   5.0, 3.005441031250e-02, nan
  38.12,   86.05, 8.439616250000e-02,   5.0, 1.511335937500e-02, nan
  26.46,  174.95, 8.534017968750e-02,  18.0, 2.716165017361e-02, nan
  27.71,  175.25, 8.535565468750e-02,  20.0, 2.364736382813e-02, nan
   3.14,  169.27, 8.540078437500e-02,   2.0, 9.700275781250e-03, nan
 240.09,  144.65, 8.629232500000e-02,  21.0, 8.077499032738e-03, nan
 232.63,  128.17, 8.629638906250e-02,  27.0, 6.829906018519e-02, nan
 242.73,  214.82, 8.660479062500e-02,   3.0, 3.503494895833e-02, nan
 213.10,  179.95, 8.660773125000e-02,  25.0, 8.874445293750e-02, nan
  17.75,  190.62, 8.694818593750e-02,   8.0, 3.686691425781e-02, nan
  51.49,  176.86, 8.774512812500e-02,  21.0, 1.689075818452e-02, nan
  13.03,  204.57, 8.775915000000e-02,   9.0, 2.490918940972e-02, nan
  44.51,  188.53, 8.785795312500e-02,   3.0, 5.818599479167e-03, nan
  12.30,  194.67, 8.793954375000e-02,   7.0, 2.787501116071e-02, nan
  92.68,   74.77, 8.962997656250e-02,   2.0, 4.451180703125e-02, nan
 231.48,  213.05, 9.322927656250e-02,   2.0, 3.428480312500e-02, nan
   2.78,  198.88, 9.432233281250e-02,   4.0, 1.184070703125e-02, nan
 109.85,  193.01, 9.451394687500e-02,   2.0, 4.184064921875e-02, nan
 119.55,  181.33, 9.452757812500e-02,   2.0, 2.031875000000e-03, nan
 127.41,  196.52, 9.455395937500e-02,   2.0, 3.950486562500e-02, nan
  19.49,  231.77, 9.566829531250e-02,   8.0, 1.090301523437e-02, nan
 228.91,  137.36, 9.606696875000e-02,   4.0, 7.157454179688e-02, nan
  38.53,  165.10, 9.650780625000e-02,   3.0, 1.766664895833e-02, nan
  13.41,  145.10, 1.061557312500e-01,   7.0, 2.483186272321e-02, nan
 132.78,   41.44, 1.066927046875e-01,   6.0, 6.793108151042e-02, nan
