x[px],y[px],t[s]
0.93266636,0.35172817,0.508468
0.15635398,0.8456631,0.1597555
0.8662037,0.943773,0.38010767
0.9284768,0.5877181,0.3956581
0.6333763,0.77231145,0.4646231
0.8622289,0.9716915,0.17110616
0.8889147,0.96920407,0.16907743
0.94390625,0.36757362,0.28195295
0.024339097,0.7565324,0.076483645
0.19203661,0.8550954,0.26839092
0.1866208,0.8747655,0.19153254
0.8993336,0.33467862,0.3579247
0.9552113,0.3177356,0.26202065
0.884939,0.34651384,0.1946357
0.92006385,0.9366566,0.16970983
0.2206158,0.3900723,0.16434726
0.017102089,0.7512911,0.24825442
0.2428863,0.35977504,0.16519499
0.8786218,0.9508828,0.5216659
0.19511366,0.35199583,0.16149612
0.8840168,0.94275755,0.29664004
0.2140628,0.3692277,0.9015076
0.861198,0.9431099,0.17001854
0.6418974,0.7866428,0.18082884
0.14302866,0.82501584,0.15033054
0.21511409,0.83494174,0.15101339
0.92220426,0.34933785,0.24383928
0.61825645,0.022044383,0.09075115
0.30634603,0.46147734,0.018748177
0.37315968,0.4672222,0.0071872
0.6112429,0.772336,0.18796544
0.95245874,0.37442052,0.21887113
0.049841702,0.7181319,0.13845253
0.9314721,0.36504948,0.19354926
0.20160362,0.37567636,0.16043429
0.24796169,0.8588538,0.15198332
0.055685584,0.75938195,0.15138952
0.32812515,0.4362871,0.1655584
0.2578519,0.3957959,0.17259228
0.18211049,0.8690307,0.49327195
0.09052261,0.7550106,0.1646396
0.85688865,0.24631548,0.23354653
0.93668807,0.28311494,0.13203833
0.56538254,0.07460178,0.14100856
0.62436485,0.77828026,0.1168786
0.04527061,0.7266976,0.07806294
0.9375626,0.5977801,0.1719307
0.83091164,0.9447985,0.16637546
0.60567474,0.7981153,0.4689647
0.6044948,0.049565814,0.09630625
0.9236373,0.30951422,0.4406575
0.89525354,0.31857046,0.19877192
0.19221708,0.38001314,0.21831366
0.06143759,0.75645083,0.43581268
0.9285525,0.27817044,0.23222461
0.9710293,0.32845083,0.3825521
0.8725545,0.29768226,0.13335599
0.66381997,0.76888216,0.11311214
0.2028713,0.88778067,0.15667057
0.33520636,0.4298334,0.016100768
0.055000167,0.7552263,0.09393894
0.20489456,0.3652465,0.31525424
0.58825004,0.04646126,0.26582813
0.936404,0.3110407,0.90765154
0.5897515,0.024890749,0.14424229
0.18069252,0.38308358,0.16309646
0.062702954,0.7475004,0.7264845
0.93560237,0.4123949,0.65496093
0.92111135,0.31719983,0.13307457
0.5720486,0.031663936,0.09719139
0.9275329,0.5756458,0.23753437
0.20870575,0.35636777,0.5253124
0.6375087,0.7771299,0.31812492
0.9359324,0.36555,0.39530745
0.55213577,0.064260125,0.09274806
0.88595295,0.37025183,0.21203823
0.9290197,0.3263539,0.19365463
0.9155486,0.2705487,0.38351896
0.5884146,0.03334263,0.4479289
0.17784882,0.3650681,0.15909293
0.3429333,0.4336063,0.30276242
0.88822985,0.925366,0.16671185
0.95322454,0.3436141,0.19475746
0.1571674,0.8795799,0.15052111
0.7496791,0.8704197,0.72807527
0.85157955,0.29494077,0.30828744
0.094454445,0.7457408,0.08591396
0.048683736,0.6928979,0.11028711
0.9191165,0.9407831,0.25595644
0.586854,0.082532905,0.09172566
0.89831173,0.56208223,0.16864644
0.94651437,0.36288506,0.3332512
0.02784128,0.7021707,0.07543811
0.051507443,0.7810905,0.07804121
0.07003037,0.7414775,0.23123126
0.18290551,0.85218066,0.1503752
0.909608,0.37462965,0.19404683
0.88038296,0.9544333,0.21353465
0.9944744,0.36394766,0.20034473
0.07520995,0.7217128,0.08720253
